Promo	Nom	Prenom	Sexe	Telephone	Adresse Mail	Rue	Code Postal	Ville	Entreprise	
0000	test	test	H	0123456789	delasallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.e.lasallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.el.asallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.ela.sallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elas.allesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasa.llesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasal.lesiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasall.esiodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasalle.siodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasalles.iodestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesi.odestinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesio.destinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiod.estinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiode.stinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodes.tinataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodest.inataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodesti.nataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestin.ataire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestina.taire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestinat.aire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestinata.ire@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestinatai.re@gmail.com					
0000	test	test	H	0123456789	d.elasallesiodestinatair.e@gmail.com					
0000	test	test	H	0123456789	de.lasallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.l.asallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.la.sallesiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.las.allesiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasa.llesiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasal.lesiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasall.esiodestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasalle.siodestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasalles.iodestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesi.odestinataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesio.destinataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesiod.estinataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesiode.stinataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesiodes.tinataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesiodest.inataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesiodesti.nataire@gmail.com					
0000	test	test	H	0123456789	de.lasallesiodestin.ataire@gmail.com					
1990	CARTRON	Jean-Michel	H	02.99.87.12.12	jean.michel.cartron@gmail.com	5 rue de la Motte Brulon	35700	RENNES	Lycée De La Salle - Rennes	
1990	CARTRON	Jim	H	11.22.33.44.55	jeanmichelcartron@gmail.com	6, rue François Mauriac	35760	St GREGOIRE	Lycée De La Salle - Rennes	
2005	FONFEC	Sophie	F	11.22.33.44.55	sophie.fonfec@gmail.com	1, rue de la mairie	35000	RENNES	Orange	
2017	BOUTIN	Killiannn	M	01.23.45.67.89	delasalle.sio.boutin.k@gmail.com	5 rue de la motte  Brûlon				
